phase,case_id,instance,solution,scale,gurobi_runtime_seconds,gurobi_runtime_status,gurobi_runtime_source,time_limit_seconds,time_limit_rule,checker_accepted
test,araujo2020,large_instance_1.json,large_solution_1.json,large,54.31,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,araujo2020,large_instance_2.json,large_solution_2.json,large,148.05,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,araujo2020,large_instance_3.json,large_solution_3.json,large,13.63,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,araujo2020,large_instance_4.json,large_solution_4.json,large,191.58,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,araujo2020,large_instance_5.json,large_solution_5.json,large,16.16,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,bard2002,large_instance_1.json,large_solution_1.json,large,3600.591076553799,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bard2002,large_instance_2.json,large_solution_2.json,large,3600.490341892466,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bard2002,large_instance_3.json,large_solution_3.json,large,0.3849184261634946,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
test,bard2002,large_instance_4.json,large_solution_4.json,large,3600.7235682867467,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bard2002,large_instance_5.json,large_solution_5.json,large,3600.727088941261,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,belvaux2000,large_instance_1.json,large_solution_1.json,large,3600.2,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,belvaux2000,large_instance_2.json,large_solution_2.json,large,3600.23,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,belvaux2000,large_instance_3.json,large_solution_3.json,large,3600.27,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,belvaux2000,large_instance_4.json,large_solution_4.json,large,1067.24,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,belvaux2000,large_instance_5.json,large_solution_5.json,large,3600.34,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,bertsimas2022,large_instance_1.json,large_solution_1.json,large,3606.96,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,bertsimas2022,large_instance_2.json,large_solution_2.json,large,3610.05,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,bertsimas2022,large_instance_3.json,large_solution_3.json,large,3606.86,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,bertsimas2022,large_instance_4.json,large_solution_4.json,large,3606.96,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,bertsimas2022,large_instance_5.json,large_solution_5.json,large,3612.11,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,bertsimas2024,large_instance_1.json,large_solution_1.json,large,3072.537081817165,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bertsimas2024,large_instance_2.json,large_solution_2.json,large,522.0160622429103,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bertsimas2024,large_instance_3.json,large_solution_3.json,large,383.05625827703625,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bertsimas2024,large_instance_4.json,large_solution_4.json,large,3028.6974435467273,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,bertsimas2024,large_instance_5.json,large_solution_5.json,large,3073.042305377312,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,boland2019,large_instance_1.json,large_solution_1.json,large,3600.23,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,boland2019,large_instance_2.json,large_solution_2.json,large,3600.47,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,boland2019,large_instance_3.json,large_solution_3.json,large,3601.24,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,boland2019,large_instance_4.json,large_solution_4.json,large,3600.22,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,boland2019,large_instance_5.json,large_solution_5.json,large,3600.22,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,buchheim2018,large_instance_1.json,large_solution_1.json,large,3600.82,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,buchheim2018,large_instance_2.json,large_solution_2.json,large,2932.85,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,buchheim2018,large_instance_3.json,large_solution_3.json,large,3600.56,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,buchheim2018,large_instance_4.json,large_solution_4.json,large,3600.73,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,buchheim2018,large_instance_5.json,large_solution_5.json,large,316.1,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,caprara1999,large_instance_1.json,large_solution_1.json,large,16.28,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,caprara1999,large_instance_2.json,large_solution_2.json,large,193.92,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,caprara1999,large_instance_3.json,large_solution_3.json,large,4.06,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
test,caprara1999,large_instance_4.json,large_solution_4.json,large,12.67,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,caprara1999,large_instance_5.json,large_solution_5.json,large,1590.59,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,chebil2019,large_instance_1.json,large_solution_1.json,large,3600.77,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,chebil2019,large_instance_2.json,large_solution_2.json,large,17.56,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,chebil2019,large_instance_3.json,large_solution_3.json,large,179.24,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,chebil2019,large_instance_4.json,large_solution_4.json,large,3600.99,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,chebil2019,large_instance_5.json,large_solution_5.json,large,15.04,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,colombi2017,large_instance_1.json,large_solution_1.json,large,3600.3,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,colombi2017,large_instance_2.json,large_solution_2.json,large,3600.49,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,colombi2017,large_instance_3.json,large_solution_3.json,large,3600.27,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,colombi2017,large_instance_4.json,large_solution_4.json,large,3600.25,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,colombi2017,large_instance_5.json,large_solution_5.json,large,0.68,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
test,delage2022,large_instance_1.json,large_solution_1.json,large,3600.37,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,delage2022,large_instance_2.json,large_solution_2.json,large,3600.0,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,delage2022,large_instance_3.json,large_solution_3.json,large,3600.29,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,delage2022,large_instance_4.json,large_solution_4.json,large,3600.38,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,delage2022,large_instance_5.json,large_solution_5.json,large,3601.53,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,engineer2012,large_instance_1.json,large_solution_1.json,large,1632.81,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,engineer2012,large_instance_2.json,large_solution_2.json,large,3600.47,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,engineer2012,large_instance_3.json,large_solution_3.json,large,3600.42,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,engineer2012,large_instance_4.json,large_solution_4.json,large,319.62,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,engineer2012,large_instance_5.json,large_solution_5.json,large,357.55,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,fischetti1997,large_instance_1.json,large_solution_1.json,large,3602.97,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,fischetti1997,large_instance_2.json,large_solution_2.json,large,3603.23,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,fischetti1997,large_instance_3.json,large_solution_3.json,large,3602.41,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,fischetti1997,large_instance_4.json,large_solution_4.json,large,3603.18,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,fischetti1997,large_instance_5.json,large_solution_5.json,large,46.37,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,gangammanavar2020,large_instance_1.json,large_solution_1.json,large,159.73,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,gangammanavar2020,large_instance_2.json,large_solution_2.json,large,87.14,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,gangammanavar2020,large_instance_3.json,large_solution_3.json,large,278.15,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,gangammanavar2020,large_instance_4.json,large_solution_4.json,large,111.64,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,gangammanavar2020,large_instance_5.json,large_solution_5.json,large,118.24,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,gschwind2021,large_instance_1.json,large_solution_1.json,large,3622.7386569269,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,gschwind2021,large_instance_2.json,large_solution_2.json,large,251.14115837123245,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
test,gschwind2021,large_instance_3.json,large_solution_3.json,large,3638.321950645186,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,gschwind2021,large_instance_4.json,large_solution_4.json,large,3624.1443150090054,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,gschwind2021,large_instance_5.json,large_solution_5.json,large,3618.1789221661165,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,he2020,large_instance_1.json,large_solution_1.json,large,3600.87,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,he2020,large_instance_2.json,large_solution_2.json,large,3603.21,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,he2020,large_instance_3.json,large_solution_3.json,large,3624.26,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,he2020,large_instance_4.json,large_solution_4.json,large,3625.19,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,he2020,large_instance_5.json,large_solution_5.json,large,3624.68,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,ji2019,large_instance_1.json,large_solution_1.json,large,3600.85,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,ji2019,large_instance_2.json,large_solution_2.json,large,3600.77,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,ji2019,large_instance_3.json,large_solution_3.json,large,3600.78,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,ji2019,large_instance_4.json,large_solution_4.json,large,3602.31,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,ji2019,large_instance_5.json,large_solution_5.json,large,3600.92,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,klose2005,large_instance_1.json,large_solution_1.json,large,3614.82,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,klose2005,large_instance_2.json,large_solution_2.json,large,3615.21,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,klose2005,large_instance_3.json,large_solution_3.json,large,198.44,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,klose2005,large_instance_4.json,large_solution_4.json,large,3614.89,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,klose2005,large_instance_5.json,large_solution_5.json,large,669.75,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,kowalczyk2024,large_instance_1.json,large_solution_1.json,large,141.03,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,kowalczyk2024,large_instance_2.json,large_solution_2.json,large,1131.84,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,kowalczyk2024,large_instance_3.json,large_solution_3.json,large,3606.3,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,kowalczyk2024,large_instance_4.json,large_solution_4.json,large,235.66,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,kowalczyk2024,large_instance_5.json,large_solution_5.json,large,146.2,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,legrain2020,large_instance_1.json,large_solution_1.json,large,3602.37,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,legrain2020,large_instance_2.json,large_solution_2.json,large,3602.49,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,legrain2020,large_instance_3.json,large_solution_3.json,large,3602.32,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,legrain2020,large_instance_4.json,large_solution_4.json,large,3602.62,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,legrain2020,large_instance_5.json,large_solution_5.json,large,3602.35,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,lozano2017,large_instance_1.json,large_solution_1.json,large,575.9582703206688,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,lozano2017,large_instance_2.json,large_solution_2.json,large,546.2803139062598,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,lozano2017,large_instance_3.json,large_solution_3.json,large,221.7686190456152,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
test,lozano2017,large_instance_4.json,large_solution_4.json,large,497.31021342240274,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,lozano2017,large_instance_5.json,large_solution_5.json,large,570.5879238741472,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,martello1999,large_instance_1.json,large_solution_1.json,large,233.24,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,martello1999,large_instance_2.json,large_solution_2.json,large,1230.79,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,martello1999,large_instance_3.json,large_solution_3.json,large,2280.01,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,martello1999,large_instance_4.json,large_solution_4.json,large,63.87,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,martello1999,large_instance_5.json,large_solution_5.json,large,60.67,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,morrison2016,large_instance_1.json,large_solution_1.json,large,3558.52,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,morrison2016,large_instance_2.json,large_solution_2.json,large,97.21,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
test,morrison2016,large_instance_3.json,large_solution_3.json,large,399.77,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,morrison2016,large_instance_4.json,large_solution_4.json,large,0.16,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
test,morrison2016,large_instance_5.json,large_solution_5.json,large,12.96,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
test,muter2010,large_instance_1.json,large_solution_1.json,large,3600.8564605442807,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,muter2010,large_instance_2.json,large_solution_2.json,large,1523.6928333165124,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,muter2010,large_instance_3.json,large_solution_3.json,large,5.228673008270562,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,True
test,muter2010,large_instance_4.json,large_solution_4.json,large,10.072514498606324,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,True
test,muter2010,large_instance_5.json,large_solution_5.json,large,3601.0325849233195,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,potthoff2010,large_instance_1.json,large_solution_1.json,large,0.16904778126627207,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
test,potthoff2010,large_instance_2.json,large_solution_2.json,large,0.9237672043964267,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
test,potthoff2010,large_instance_3.json,large_solution_3.json,large,0.12372973095625639,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
test,potthoff2010,large_instance_4.json,large_solution_4.json,large,0.1721362667158246,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
test,potthoff2010,large_instance_5.json,large_solution_5.json,large,0.16989686340093613,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
test,rahmaniani2018,large_instance_1.json,large_solution_1.json,large,373.2213188195601,observed,current_rerun_20260831,900,runtime <= infs -> 900s,True
test,rahmaniani2018,large_instance_2.json,large_solution_2.json,large,214.29488624632359,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
test,rahmaniani2018,large_instance_3.json,large_solution_3.json,large,232.11549211107194,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
test,rahmaniani2018,large_instance_4.json,large_solution_4.json,large,296.4687019046396,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
test,rahmaniani2018,large_instance_5.json,large_solution_5.json,large,204.95582663081586,observed,current_rerun_20260831,600,runtime <= 300s -> 600s,True
test,reinhardt2016,large_instance_1.json,large_solution_1.json,large,3601.61,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,reinhardt2016,large_instance_2.json,large_solution_2.json,large,3601.71,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,reinhardt2016,large_instance_3.json,large_solution_3.json,large,3601.68,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,reinhardt2016,large_instance_4.json,large_solution_4.json,large,3601.72,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,reinhardt2016,large_instance_5.json,large_solution_5.json,large,3601.89,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,segundo2019,large_instance_1.json,large_solution_1.json,large,3628.93,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,segundo2019,large_instance_2.json,large_solution_2.json,large,3629.16,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,segundo2019,large_instance_5.json,large_solution_5.json,large,3628.6,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,wangk2020,large_instance_1.json,large_solution_1.json,large,238.96,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,wangk2020,large_instance_2.json,large_solution_2.json,large,237.69,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,wangk2020,large_instance_3.json,large_solution_3.json,large,234.73,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
test,wangk2020,large_instance_4.json,large_solution_4.json,large,471.37,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,wangk2020,large_instance_5.json,large_solution_5.json,large,486.24,observed,historical_collaborator_archive,900,runtime <= infs -> 900s,True
test,zohali2022,large_instance_1.json,large_solution_1.json,large,30.215429660864174,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
test,zohali2022,large_instance_2.json,large_solution_2.json,large,30.215197525918484,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
test,zohali2022,large_instance_3.json,large_solution_3.json,large,30.122377164661884,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
test,zohali2022,large_instance_4.json,large_solution_4.json,large,30.224933289922774,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
test,zohali2022,large_instance_5.json,large_solution_5.json,large,30.156055998057127,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
train,adulyasak2015,tiny_instance.json,tiny_solution.json,small,0.9,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,alba2013,tiny_instance.json,tiny_solution.json,small,0.34,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,alfieri2020,tiny_instance.json,tiny_solution.json,small,0.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,amaldi2013,tiny_instance.json,tiny_solution.json,small,6.87,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
train,araujo2015,tiny_instance.json,tiny_solution.json,small,0.5,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,archetti2007,tiny_instance.json,tiny_solution.json,small,0.54,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,armbruster2012,tiny_instance.json,tiny_solution.json,small,19.29,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
train,armbruster2012,tiny_instance_2.json,tiny_solution_2.json,small,30.596107756718993,observed,historical_reference_regeneration_20260829,300,runtime <= 120s -> 300s,True
train,arslan2021,tiny_instance.json,tiny_solution.json,small,0.17558692675083876,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
train,barnhart2000,tiny_instance.json,tiny_solution.json,small,0.09,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bayani2024,tiny_instance.json,tiny_solution.json,small,0.6,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,belhoul2014,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bentert2022,tiny_instance.json,tiny_solution.json,small,90.25,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
train,bergman2019,tiny_instance.json,tiny_solution.json,small,0.27,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bettinelli2017,tiny_instance.json,tiny_solution.json,small,0.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bierwirth2017,tiny_instance.json,tiny_solution.json,small,3.75,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bierwirth2017,tiny_instance_2.json,tiny_solution_2.json,small,45.237995417788625,observed,historical_reference_regeneration_20260829,300,runtime <= 120s -> 300s,True
train,bode2012,tiny_instance.json,tiny_solution.json,small,2.19,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bodur2017,tiny_instance.json,tiny_solution.json,small,9.46,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
train,bollapragada2001,tiny_instance.json,tiny_solution.json,small,0.29,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,borndorfer2007,tiny_instance.json,tiny_solution.json,small,17.36,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
train,borndorfer2007,tiny_instance_2.json,tiny_solution_2.json,small,121.85411329101771,observed,historical_reference_regeneration_20260829,600,runtime <= 300s -> 600s,True
train,bragin2022,tiny_instance.json,tiny_solution.json,small,1.42,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,brandao2016,tiny_instance.json,tiny_solution.json,small,0.24,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,bront2009,tiny_instance.json,tiny_solution.json,small,0.2,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,byeon2022,tiny_instance.json,tiny_solution.json,small,0.2712572729215026,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
train,carosi2019,tiny_instance.json,tiny_solution.json,small,1.11,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,carvalho1999,tiny_instance.json,tiny_solution.json,small,0.44,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,carvalho2022,tiny_instance.json,tiny_solution.json,small,69.37,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
train,castro2021,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,chebil2015,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,chen1999,tiny_instance.json,tiny_solution.json,small,16.46,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
train,cherkesly2015,tiny_instance.json,tiny_solution.json,small,11.843637948855758,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,True
train,contreras2011,tiny_instance.json,tiny_solution.json,small,0.22,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,cordeau2006,tiny_instance.json,tiny_solution.json,small,2.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,cordeau2014,tiny_instance.json,tiny_solution.json,small,0.32340638525784016,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
train,cordeau2019,tiny_instance.json,tiny_solution.json,small,2.21,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,cote2018,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,cote2019,tiny_instance.json,tiny_solution.json,small,91.82,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
train,cunha2021,tiny_instance.json,tiny_solution.json,small,11.69,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
train,damcikurt2016,tiny_instance.json,tiny_solution.json,small,62.902939279563725,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,True
train,dayarian2019,tiny_instance.json,tiny_solution.json,small,2.569692767225206,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,True
train,degraeve2007,tiny_instance.json,tiny_solution.json,small,0.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,delorme2020,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,desaulniers2010,tiny_instance.json,tiny_solution.json,small,3.15,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,desaulniers2014,tiny_instance.json,tiny_solution.json,small,0.29,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,desaulniers2016,tiny_instance.json,tiny_solution.json,small,0.48,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,dienstknecht2024,tiny_instance.json,tiny_solution.json,small,0.41,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,earl2005,tiny_instance.json,tiny_solution.json,small,0.15,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
train,eiselt2009,tiny_instance.json,tiny_solution.json,small,14.89,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
