phase,case_id,instance,solution,scale,gurobi_runtime_seconds,gurobi_runtime_status,gurobi_runtime_source,time_limit_seconds,time_limit_rule,eval_time_limit_seconds,checker_accepted
holdout,adulyasak2015,large_instance_4.json,large_solution_4.json,large,3614.41,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,alba2013,large_instance_5.json,large_solution_5.json,large,499.9,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,alfieri2020,large_instance_3.json,large_solution_3.json,large,3609.59,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,amaldi2013,large_instance_4.json,large_solution_4.json,large,3601.32,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,araujo2015,large_instance_2.json,large_solution_2.json,large,3600.82,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,araujo2020,large_instance_1.json,large_solution_1.json,large,54.31,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
holdout,archetti2007,large_instance_2.json,large_solution_2.json,large,2996.36,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,armbruster2012,large_instance_3.json,large_solution_3.json,large,3615.76,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,arslan2021,large_instance_3.json,large_solution_3.json,large,27.483967878855765,observed,current_rerun_20260831,120,runtime <= 30s -> 120s,900,True
holdout,bard2002,large_instance_1.json,large_solution_1.json,large,3600.591076553799,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
holdout,barnhart2000,large_instance_5.json,large_solution_5.json,large,543.18,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,bayani2024,large_instance_4.json,large_solution_4.json,large,3601.49,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,belhoul2014,large_instance_3.json,large_solution_3.json,large,49.42,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
holdout,belvaux2000,large_instance_2.json,large_solution_2.json,large,3600.23,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
