phase,case_id,instance,solution,scale,gurobi_runtime_seconds,gurobi_runtime_status,gurobi_runtime_source,time_limit_seconds,time_limit_rule,eval_time_limit_seconds,checker_accepted
holdout,bragin2022,large_instance_5.json,large_solution_5.json,large,1.81,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,bragin2022,tiny_instance.json,tiny_solution.json,small,1.42,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,cordeau2014,large_instance_4.json,large_solution_4.json,large,3601.6832738369703,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
holdout,cordeau2014,tiny_instance.json,tiny_solution.json,small,0.32340638525784016,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
holdout,damcikurt2016,large_instance_2.json,large_solution_2.json,large,755.4486540015787,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
holdout,damcikurt2016,tiny_instance.json,tiny_solution.json,small,62.902939279563725,observed,current_rerun_20260831,300,runtime <= 120s -> 300s,900,True
holdout,dayarian2019,large_instance_2.json,large_solution_2.json,large,3600.793936959468,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
holdout,dayarian2019,tiny_instance.json,tiny_solution.json,small,2.569692767225206,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
holdout,delorme2020,large_instance_1.json,large_solution_1.json,large,860.22,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,delorme2020,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,eiselt2009,large_instance_3.json,large_solution_3.json,large,3608.74,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,eiselt2009,tiny_instance.json,tiny_solution.json,small,14.89,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,900,True
holdout,fragkos2016,large_instance_3.json,large_solution_3.json,large,3600.4,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,fragkos2016,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,hosseinian2020,large_instance_2.json,large_solution_2.json,large,3601.49,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,hosseinian2020,tiny_instance.json,tiny_solution.json,small,0.14,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,kang2021,large_instance_2.json,large_solution_2.json,large,3600.71,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,kang2021,tiny_instance.json,tiny_solution.json,small,0.35,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,laporte2003,large_instance_3.json,large_solution_3.json,large,437.81,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,900,True
holdout,laporte2003,tiny_instance.json,tiny_solution.json,small,0.39,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,legrain2024,large_instance_5.json,large_solution_5.json,large,3601.5477789714932,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
holdout,legrain2024,tiny_instance.json,tiny_solution.json,small,0.17503456585109234,observed,current_rerun_20260831,60,runtime <= 5s -> 60s,900,True
holdout,ribeiro1994,large_instance_2.json,large_solution_2.json,large,53.6,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,900,True
holdout,ribeiro1994,tiny_instance.json,tiny_solution.json,small,0.12,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,900,True
holdout,riley2025,large_instance_5.json,large_solution_5.json,large,304.5848647747189,observed,current_rerun_20260831,900,runtime > 300s -> 900s,900,True
