case_id,instance,solution,scale,gurobi_runtime_seconds,gurobi_runtime_status,gurobi_runtime_source,time_limit_seconds,time_limit_rule,checker_accepted
adulyasak2015,large_instance_1.json,large_solution_1.json,large,3628.54,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
adulyasak2015,large_instance_2.json,large_solution_2.json,large,3617.55,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
adulyasak2015,large_instance_3.json,large_solution_3.json,large,3613.11,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
adulyasak2015,large_instance_4.json,large_solution_4.json,large,3614.41,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
adulyasak2015,large_instance_5.json,large_solution_5.json,large,3613.01,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
adulyasak2015,tiny_instance.json,tiny_solution.json,small,0.9,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
alba2013,large_instance_1.json,large_solution_1.json,large,38.35,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
alba2013,large_instance_2.json,large_solution_2.json,large,108.91,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
alba2013,large_instance_3.json,large_solution_3.json,large,2511.67,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alba2013,large_instance_4.json,large_solution_4.json,large,757.15,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alba2013,large_instance_5.json,large_solution_5.json,large,499.9,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alba2013,tiny_instance.json,tiny_solution.json,small,0.34,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
alfieri2020,large_instance_1.json,large_solution_1.json,large,3613.69,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alfieri2020,large_instance_2.json,large_solution_2.json,large,3604.97,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alfieri2020,large_instance_3.json,large_solution_3.json,large,3609.59,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alfieri2020,large_instance_4.json,large_solution_4.json,large,3615.22,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alfieri2020,large_instance_5.json,large_solution_5.json,large,3605.31,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
alfieri2020,tiny_instance.json,tiny_solution.json,small,0.17,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
amaldi2013,large_instance_1.json,large_solution_1.json,large,145.64,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
amaldi2013,large_instance_2.json,large_solution_2.json,large,3600.89,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
amaldi2013,large_instance_3.json,large_solution_3.json,large,3602.07,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
amaldi2013,large_instance_4.json,large_solution_4.json,large,3601.32,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
amaldi2013,large_instance_5.json,large_solution_5.json,large,3601.65,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
amaldi2013,tiny_instance.json,tiny_solution.json,small,6.87,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
araujo2015,large_instance_1.json,large_solution_1.json,large,3601.78,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
araujo2015,large_instance_2.json,large_solution_2.json,large,3600.82,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
araujo2015,large_instance_3.json,large_solution_3.json,large,3600.71,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
araujo2015,large_instance_4.json,large_solution_4.json,large,4.44,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
araujo2015,large_instance_5.json,large_solution_5.json,large,3601.13,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
araujo2015,tiny_instance.json,tiny_solution.json,small,0.5,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
araujo2020,large_instance_1.json,large_solution_1.json,large,54.31,observed,historical_collaborator_archive,300,runtime <= 120s -> 300s,True
araujo2020,large_instance_2.json,large_solution_2.json,large,148.05,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
araujo2020,large_instance_3.json,large_solution_3.json,large,13.63,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
araujo2020,large_instance_4.json,large_solution_4.json,large,191.58,observed,historical_collaborator_archive,600,runtime <= 300s -> 600s,True
araujo2020,large_instance_5.json,large_solution_5.json,large,16.16,observed,historical_collaborator_archive,120,runtime <= 30s -> 120s,True
araujo2020,tiny_instance.json,tiny_solution.json,small,0.61,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
archetti2007,large_instance_1.json,large_solution_1.json,large,537.33,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
archetti2007,large_instance_2.json,large_solution_2.json,large,2996.36,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
archetti2007,large_instance_3.json,large_solution_3.json,large,1435.39,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
archetti2007,large_instance_4.json,large_solution_4.json,large,3601.1,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
archetti2007,large_instance_5.json,large_solution_5.json,large,3601.08,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
archetti2007,tiny_instance.json,tiny_solution.json,small,0.54,observed,historical_collaborator_archive,60,runtime <= 5s -> 60s,True
armbruster2012,large_instance_1.json,large_solution_1.json,large,3605.63,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
armbruster2012,large_instance_2.json,large_solution_2.json,large,3622.93,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
armbruster2012,large_instance_3.json,large_solution_3.json,large,3615.76,observed,historical_collaborator_archive,900,runtime > 300s -> 900s,True
